Text,"Annotator1, before discussion",,,"Annotator1, after discussion",,,"Annotator2, before discussion",,,"Annotator2, after discussion",,
These diseases are always present  but according to the MSM press and Internet there are only two contagious diseases in the world  covid-NUM and the flu  but ONLY the flu when they are marketing flu shots Otherwise the flu doesn't exist,,1,,,,,1,,,,,
But you know pick sides if you must Just be careful who you side with It might be contagious,,1,,,,,,1,,,,
"And once again, I condemn the Muslims who attacked the Isreali girl online, just as I condemn the ""mostly graffiti and racist"" along with the death threats and physical attacks against Muslims and Jews, against LGBTQ, against politicians online and offline. I",,1,,,,,,1,,,,
"The details of the indictment are disgusting. Any cop lovers here? Well, this is what cops are all about. This is not bad apples. It's a bad barrel. They beat this guy, bragged about it, then tried to cover it up.",,1,,,,,,1,,,,
Well done You've successfully identified the black and white ends of the spectrum However I'm more interested in the various shades of gray What's the cut-off At what point does a kid go from being big to fat,,1,,,,,1,,,,,
"Of course after we finished, I decided to call into Ten Foundations after to help out with a little bit of clothes sorting. Emma and I worked through a few bags together, sorting them into three piles : ready to sell; needs ironing; recycling. There are an awful lot of times where we get donated goods that we just can’t sell such as socks or trousers covered in paint stains , they ultimately end up in our recycling pile and over time that adds up it’s a real shame. Though, I’d say we get more good quality things than bad.",,1,,,,,,1,,,,
But both the CBO and the White House make important assumptions that are far from assured,,1,,,,,,1,,,,
"The universe has no beginning and no end, and time has no beginning and no end. The Big Bang hypothesis is extremely absurd and seriously hindered the development of science. Gravity does not exist in all parts of the universe but in some parts of the universe. Some kind of unknown repulsive force in some parts of the universe counterbalances the gravity in the other parts of the universe keeping the balance of the whole universe. Therefore, it is absolutely impossible for gravity to indefinitely gather substances into indefinitely dense singularities that do not exist. Besides, everything has a cause",,1,,,,,,1,,,,
Among white collar workers only clock watchers check out at the end of the day Anybody who has any ambition is available by phone or e-mail NUM/NUM and if they must take work documents confidential or not home with them to finish the job so be it,,1,,,,,,1,,,,
"Personal Ignore Policy PIP : I like civil discourse. I will give you all the respect in the world if you respect me. Mouth off to me, or express overt racism, you will be PERMANENTLY Ignore Listed. Zero tolerance. No exceptions. I'll never read a word you write, even if quoted by another, nor respond to you, nor participate in your threads. ... Ignore the shallow. Cherish the thoughtful. Long Live Civil Discourse, Mutual Respect, and Good Debate! ps: Feel free to adopt my PIP. It works well.",,1,,,,,,1,,,,
"You were propagandized into volunteering to be a lab rat even though the ferrets died of vaccine enhanced disease in all prior trials of mRNA ""vaccines"" for SARS corona viruses. The difference this time being that humans are the animals in phase 3 of the trial. What is ""vaccine-enhanced disease"" or ""pathogenic priming""?",,1,,,,,,1,,,,
"COLUMBUS, Ohio. Ohio authorities on Friday released bodycam video showing a police officer fatally shooting Ta’Kiya Young in her car in what her family denounced as a gross misuse of power and authority against the pregnant Black mother. Sean Walton, an attorney representing Young's family, said the video clearly shows that the Aug. 24 shooting of the 21-year-old woman was unjustified and he called for the officer to be fired and charged immediately. Walton also criticized police for not releasing the video footage for more than a week after the shooting. Ta’Kiya’s family is heartbroken,"" Walton said in an",1,,,,,,1,,,,,
"Nike is the biggest sponsor for NBA. And two years ago when all the Black Lives Matter happened, Nike was one of the first companies out there, was standing with Black Lives Matter,Kanter said. Nike stands with Stop Asian Hate. Nike stands with LGBTQ community. Nike stands with Latino community. But when it comes to China, Nike remains silent because China is the big boss for Nike. They’re one of the biggest hypocrite companies in the world.",,1,,,,,,1,,,,
"not really, with think about it is ISIS get to baghdad, Iran and Hezbollah Shia fighters will go to protect Baghdad and Karbala, leaving Iran weak, Israel has already started Air raids in Syria Golan heights, Israel hates Iran seeing it weak with fewer fighters i think they will probably lauch and offensive there too, Sunni fighters from South Asia will join the fight in baghdad, Unrest in Egypt with the Muslim Brotherhood, i have spoke to many egyptians and they all hating on Sisi, probably another uprising there, this will cause more problems",,1,,,,,,1,,,,
"And the company's public statement should stoke further outrage ----- Rather than admit to inappropriate product marketing to adolescents, or wrongdoing on their part, they claimed the decision to relocate the LGBT clothing display from the front, to the back of their stores -- and to remove some of the items such as the Tuck-Friendly briefs & swimsuits altogether was based on ""safety concerns"" for their managers & sales associates .... In other words, they shift the **** blame from themselves onto the insensitive & intolerant public who objected...",,1,,,,,,1,,,,
"If Christian churches are going to use government schools as a place for Christian outreach and ministry, then they darn well better be prepared for Satanists, Atheists and other radical religions doing the same thing. I am not saying that public schools should be ""hands off"" as far as Christianity is concerned. I am saying that such targeted outreach needs to be done ""smarter"", so that this kind of **** can be easily stomped out when it crops up. Right now, I see us playing right into the hands of those we despise. That is not ""smart"".",,1,,,,,,1,,,,
Although that vote in the Republican-led House will be largely symbolic for now given continuing Democratic control of the Senate and White House voter support for repeal of the health care law remains high as does belief that the measure is likely to be repealed,,1,,,,,,1,,,,
"A planet I believe you know as Isla Nublar. Tower stated. Dr. Bronson’s face clouded over instantly. He finally said “Not here, the house is monitored continually. Come with me. Bronson led the way to garage and he got into the driver’s seat of a sports car while motioning Tower toward the passenger side. He backed the car out and down the driveway and touched several buttons to put the car in self driving mode. As Tower started to speak, Bronson said ‘Hold on’. He turned on the radio which began blaring out some contemporary song that Tower couldn’t name.",,1,,,,,,1,,,,
"Again, I don't care if you are homosexual. I do care how you treat other people including me.",,1,,,,,,1,,,,
Make it fast cause I'm going down the street to give my sister some BBQ chicken wings.,,1,,,,,,1,,,,
"The Gulf of Tonkin which took us to Vietnam was a flat out lie which killed 58,000 Americans and countless Asians.",,1,,,,,,1,,,,
It actually would be much much more difficult to find the black boxes at the WTC than in either PA or VA,,1,,,,,,1,,,,
"Many Easy Asian cultures don't have cultures that emphasis hierarchical order? More over, these cultures do not emphasis respect and obedience towards elders ?",,1,,,,,,1,,,,
"The Lumpkins live at the definition of the back of beyond, in a hollow at the top of a valley at the end of a long and muddy dirt road. It is strewn with litter. Packs of stray dogs prowl around, barking at strangers. There is no telephone and since their pump broke two weeks ago Candy has collected water from nearby springs. Oblivious to it all, her five-year-old daughter Amy runs barefoot on a wooden porch frozen by a midwinter chill.",,1,,,,,,1,,,,
"Programs and physicians will have different policies, but widely referenced guidance from the World Professional Association for Transgender Health and the Endocrine Society lays out recommended care at different ages.",,1,,,,,,1,,,,
"was it legal for my school to stay open and forcing 1,100 boys to use about 4 toilets? felt pretty disgusting to me .... especially when we're meant to be washing our hands more because of swine flu...",,1,,,,,,1,,,,
"And I'm saying that may not be necessary. Perhaps Christians and atheists are more ready to join hands with just some tweaks to our thinking. You can do it. It's all up to you, okay? Make a little plan and you can change your life today. You don't have to spend your life addicted to feist, homeless on the street preaching the gospel of christ. Follow this plan and very soon you will say, it's okay to be gay. And most of the Bible has been proven to be a myth.",,1,,,,,,1,,,,
"You call everyone you don't know ""faggot"". Sure, usually an epithet, but that's rare nowadays. It's very common among the gay community when either teasing or very pissed at each other. As you used it, it was teasing, a ""come on, who wants to play"" signal.",,1,,,,,,1,,,,
"Government should limit itself to the powers named in the Constitution, which include banning gay marriages and censoring the Internet.",,1,,,,,,1,,,,
"The judge said that that if the bombs had gone off, ""at least 50 people would have died, hundreds of people would have been wounded, thousands would have had their lives permanently damaged, disfigured or otherwise, whether they were Christian, Muslim, Jewish, Hindu, Sikh, Buddhist, agnostic or atheist.""",,1,,,,,,1,,,,
I'm still waiting to hear from White & Case too- I'm guessing that since some ppl have been rejected and others seem to have interviews I could be on first reserve or something? Seems to be the case with a lot of my apps atm,,1,,,,,,1,,,,
"The USA is the only modern country in the world where full time workers live in poverty and have no health care After 30 years of Voodoo: worst min. wage, work conditions, illegal work safeguards, vacations, work week, college costs, rich/poor gap, upward social mobility, % homeless and in prison EVAH, and in the modern world!! And you complain about the victims? Are you an idiot or an A-hole? Pubs have blocked EVERYTHING since 2/4/2010- don't be duped...again. Stimulus worked-ran out in 2010. Total Pub Propaganda BS: ACORN, Kenyan Muslim Marxist,Tides, Mosque, Death Panel, lose your doctor, huge costs, DEBT",,1,,,,,,1,,,,
"I went to the website afterwards , and it was just a bunch of old fogies. No surprise, but I was hoping for a good old country girl, nearer my age. Who knows, I could bump into one at the square dance.",,1,,,,,,1,,,,
From first hand experience I think that is inaccurate to suggest that only Blacks were or are willing to do hard work for low wages in order to survive,,1,,,,,,1,,,,
"Why is it, that for many job applications , applications for grants, and even things like scholarships, there are questions about your minority status. It seems that you need to be a lesbian disabled female member of a ""recognized minority"" to get a decent job in this country.",,1,,,,,,1,,,,
"Really, what did you expect? A considerable portion of U.S. domestic and foreign policy is based on the assumption that Islam in the U.S. will be different: that Muslims here believe differently from those elsewhere, and do not accept the doctrines of violence against and subjugation of unbelievers that have characterized Islam throughout its history. But on what is that assumption based? Nothing but wishful thinking.And future generations of non-Muslims will pay the price.",,1,,,,,,1,,,,
"Yes, well like I said - ""Obviously ""all"" has it's exceptions"". I obviously can't account for every single feminine or gay person in the world, but there is a definite recurring trait connecting the two.",,,1,,,,1,,,,,
"This. Right here. They only held on to that testimony in case in looked like Kavanaugh might get selected. If not, it would have never seen light. That action alone proves they do not, nor ever did, give a rats ass about Ford as a person.",,1,,,,,,1,,,,
And if I remember correctly Holly is tanned but not black I think,,1,,,,,,1,,,,
"In precisely ZERO of the issues I give one **** about are muslims involved. Every last one of them has jews at the top, jews in the middle and jews at the bottom, with a couple also utilizing retarded goy chicks.",,1,,,,,,1,,,,
"I have said it before, Republicans are no longer the threat to your vote. It's those who have left the party, and not joined yours that you should fear. You don't seem to even be aware of that situation, much less know how to confront it. You are basing all of your ""conservative"" traits and claims to those who support the Republican party as it is today. Big mistake my fellow American. You see, I am not surprised at your positions on platforms because you think like a sheep and support ""the party"". I am not that docile. I don't",,,1,,,,1,,,,,
"I know a lot of Iraqi immigrants who see it differently than our congress did. Hussein actually kept the Muslims who were bad away from the Christians who worked for the government and lived in Iraq, under control.",1,,,,,,1,,,,,
"Hey Billy, I don't give a rat's ass about Obama. I'm sure he's just as good a family man as JFK, Clinton, and FDR. It's the people on the street, who think that he's a saviour after serving 28 days in Congress that concerns me.",,1,,,,,,1,,,,
"He then went on to misrepresent and mischaracterize a Bill that was about making it a hate crime to call for the deaths of transgender people. A law that would have the same caveats as hate speech, in Canada. He made this out to be about him going to jail for calling someone by the wrong gender pronoun, which was an abject falsehood. URL",,1,,,,,,1,,,,
Texas hasn't done anything worthy of being in the top 5 since they lost to Alabama at the end of the 2009 season. Coach Sarkesian is a good coach. They will come back. But there is no sign they are black to elite levels yet.,,1,,,,,,1,,,,
NUM I get what you're saying about the proof aspect I personally am not ready to claim with NUM certainty that it was an inside job I am saying that things aren't adding up,,1,,,,,,1,,,,
Some one should send a missionary to Mr. C. - maybe a Deli Lami salami type - convert him to Buddism - so he could be like a rock and let the world flow over him like a stream...nothing worse than white anglo former Christians that convert to the fat man religion....sit under a tree and say - bring me girls - and wine - and lots of rich food and I will reveal the secrets of the universe - all the time getting fatter and fatter,,1,,,,,,1,,,,
So does this mean Elizabeth Warren is against gay marriage Oh yeah that Native American thing with her was fake,,1,,,,,1,,,,,
"Good! If I were him or any other governor I would be reaching for the record button, or getting me some witnesses the second I'm told that President Trump is on the line. No way you can trust that ****ing snake. You have protect yourself whenever and wherever Trump is involved.",,1,,,,,,1,,,,
Thats gonna make him remarkably popular with the girl he is interested in or the gay boy for that matter,1,,,,,,1,,,,,
"The exploitation was real Coyote. It did not apply to every Jew, but it did happen.",,1,,,,,,1,,,,
"He marched out the backyard gate and up the slight hill to the broiler house. As he did, he noticed an even more impressive thunderhead back east. He opened the door on the western end of the 100-meter-long broiler house, shooed numerous chickens away and unplugged the large electric motor that brought feed into the house. He then worked his way to the far end of the chicken house, taking about a minute to cover the 100 meters and unplug the three feed line motors.",,,1,,,,,1,,,,
Would you be strictly political in your attachment or are you also not fond of jews ?,,1,,,,,,1,,,,
"There has been a bit of discussion lately about Canadian terrorists, particularly around whether we should allow dual-citizenship, stop letting in refugees, and/or be more selective about where Canada's immigrants come from.",,1,,,,,,1,,,,
"So why are we surprised when two young adult women attack a child and steals his MAGA hat? Clearly these women believe their action was ""morally"" correct given their screwy liberal indoctrination. They were acting EXACTLY how they were trained to act. They weren't stealing the hat because they wanted to make it their own. Even a normal criminal has more ethics than these two women. A normal thief at least would want the property, maybe to sell or to use. But these two confronted with a contrary point of view actually believed they were taking the higher moral ground",,1,,,,,,1,,,,
"As for your points on spirituality and science not necessarily being dettached I agree but not based on stereotyping atheists but my own interpretation of fractal theory which is a bit of both. That said I am a primate period. Save the political or other labels. I have fleas, kill indiscriminately, over estimate my intelligence and shit and piss in what I drink and eat, tend to rape, destroy, put dirty chemicals into the ecosphere. Those are all the scabies you need to understand what I am about. I smell and am not nice to other life on the planet.",1,,,,,,1,,,,,
"There are health arguments as to why cannibalism is a bad idea . As for the killing of animals, almost everyone is in favour of killing some animals. The issue is really about where we draw the line. Is it okay to kill the plasmodium parasite which causes malaria? What about cockroaches? What about rats? We don't eat rats, but we slaughter them wholesale for other reasons.",,,1,,,,1,,,,,
I love that you call people gay slurs.....but admitted to me that YOU ARE A GAY MAN.,,1,,,,,,1,,,,
The Chinese have one carrier TODAY and their military budget keeps growing by double digits every years The US has NUM carriers TODAY but that will likely be down to about NUM in five or six years as budget cuts hit Eventually if the Republicans win the white house they'll be down to rowboats as income taxes are slashed again and the US goes into bankruptcy,,1,,,,,,1,,,,
I think the main reason many people dislike i wouldnt use the word hate jews is because in the case of Israel and Palistine the Jews seem to dwell on the fact they were treated horrifically during the holocaust years and they use it as an excuse to treat palistinians so horrifically....i know this is a socially sensitive and one may say taboo topic but i thought i would give it a try!,,1,,,,,,1,,,,
"Even though the United States government denies that they did not know that an attack such as 9/11 was coming, U.S. officials and the media magically announced within hours of the attacks that it was 19 Muslim ""terrorists"" that 'hijacked' the doomed flights and were also agents of Osama bin Laden's al Qaeda ""network"".",,1,,,,,,1,,,,
"Doubling the workforce by allowing women to work in traditional roles has driven wages down across the board by 50% relative to inflation while simultaneously crippling the family unit, making it impossible for one person to be the breadwinner, one stay at home parent to raise kids, and by extension for coherent families to form . Prove me wrong.",,1,,,,,,1,,,,
descrimation within the government with regards to white man is entirely untrue,,1,,,,,,1,,,,
You are A LIAR and incredibly STUPID there were no MARCHES or protests from the lef tto try to GET things other than trying to GET Police to stop MURDERING and BRUTALIZING unamred black men GOD you are stupid then you APPLAUD Police violence against such protests the kind that were used to DEMAND CIVIL RIGHTS to END the VIETNAM WAR to get REAL free speech. You are an ignorant FASCIST MORON brainwashed and STUPID to an unbelievable degree and you are too STUPID to know what socialims is. FAR TOO STUPID;,,1,,,,,,1,,,,
"Gay Women, for example, will not form relationships with a man who has transitioned to being a woman. But, a Gay woman will form a relationship with a Woman who has transitioned to being a man.",,1,,,,,1,,,,,
"A conspicuous obscurity in modern Cuban history is the oppression of homosexuals under Fidel Castro, and unprecedented oppression at that. Samuel Farber notes, The present Cuban government’ has done more to promote homophobia than any regime in the country’s history.",,1,,,,,,1,,,,
"I've seen plenty of childbirth videos and watched the birth of my son in a mirror. In my opinion, its nothing short of a miracle. I also don't have a weak stomach. I'm considering becoming a midwife myself. I want pregnancy and childbirth to go back to its roots, not industrialized and viewed like a disease.",,1,,,,,,1,,,,
"Im All for guns.Liberals dont belive we should carry guns asnd depend on the police to protect you. Well heres a fact,, THE POLICE DONT REALLY PROTECT YOU!!! You have to carry guns to protect yourself.Remember that teen was Kidnapped and Murdered after leavingh the Target Store on June 10th buying a gift for her boyfriend? Well her Father is a Cop he sure didnt do a very good jobn protecting his daughter did he? Id like to walk up to him and say,,Well if you wernt so Busy writing up traffic tickets,Parking tickets and Trapping Prositution your daughter might",,1,,,,,,1,,,,
"How does utilitarianism justify the ""persecution"" of Blacks? . Not everybody was happy for these things to happen, as the interests of the black people involved were strongly undermined. Your arguments only works if the interests of Blacks are worth less than those of Whites, which I am sure is not what you wanted to say.",,1,,,,,,1,,,,
Former White House counsel Don McGahn testified to Congress last week that he felt trapped when then President Donald Trump asked him to help engineer the removal of the special counsel Robert Mueller during the Russia investigation,,1,,,,,,1,,,,
"And how many native women have been killed on the downtown East side of Vanoouver in the past five years? Where is their ""hotline""? How many women each year, in Canada, are killed by their spouse? How many women/children seek temporary shelter to avoid getting beaten at home by their husband/father? Where is Harper's White Knight stand for those women?",,1,,,,,,1,,,,
"But how much change? In Darwin's examples no new species appear and no new features appear within the species that are changing. Domestic breeding can't turn a sheep into a goat, much less a lizzard or a fish. And bird predation does not change moths into butterflies. Biologists have long recognized a distinction between relatively minor changes within a species, which is defined as ""microevolution,"" and the much larger changes necessary to produce significant new features or entirely new species which they call ""macroevolution."" It is entirely possible and even probable that evolution in its third sense is true when",,1,,,,,,1,,,,
A Zogby International poll released Thursday in Washington highlights in particular concerns about former President Bill Clinton's ability to behave honestly in the White House if his wife Sen Hillary Clinton D-N.Y  is elected president in NUM,,1,,,,,,1,,,,
We've had a lot of blue laws for a nation that doesn't consider itself Christian haven't we And are not the Ten Commandments quite literally written in stone on the wall of the Supreme Court's HQ That was done on purpose to be sure No million monkeys and million typewriters at work in that equation What do these facts suggest about your argument If the proof is in the pudding we should be looking at the pudding yes,,1,,,,,,1,,,,
Look at this fucking moron. Your a friend of Jeffrey Toobin and you gave the balls to talk about the masturbation habits of others????? LMAFO you loser cockroach,,1,,,,,,1,,,,
But every one of those diseases can be found in unpolluted water found in nature. Pollution is not a prerequisite for their presence.,1,,,,,,1,,,,,
"Now...the average Democrat will look at stories like this and conclude 'yeah, white people are racist' and think no more about it.",,1,,,,,,1,,,,
Interesting to see the effect of a similar disease on the monkey population and its effects,,1,,,,,,1,,,,
EMERGENCY USE AUTHORIZATION EUA OF THE JANSSEN COVID-NUM VACCINE TO PREVENT CORONAVIRUS DISEASE NUM COVID-NUM IN INDIVIDUALS NUM YEARS OF AGE AND OLDER,,1,,,,,,1,,,,
"On the question of whether Obamacare impacts my own work coverage, my company's healthcare provider wants to jack up our rates by 66%. However, only 5% is because of Obamacare and 61% is because we had a sickly year - especially my immediate superior, whose wife has had brain cancer.",,1,,,,,,1,,,,
"Who cares. Western civilization is literally breeding itself into extinction if reproduction rates stay the same. Many women don't want kids they want dog-babies and careers. Good jobs ladies. And men keeping turning into bigger and bigger p*ssies, preferring to stay inside playing video games and watching youtubers like this idiot rather than going outside and getting laid. Good job fellas.",,1,,,,,,1,,,,
"Well its a bit sad about these MGTOWs spurning women, I guess the remainder of us will just have to step up and try to fill the gap.",,1,,,,,1,,,,,
"By the time I had learned a little, she lay, silenced, in the absolute black.",,1,,,,,,1,,,,
Monkeypox renamed mpox after WHO cites racism concernsLONDON AP — The World Health Organization has renamed monkeypox as mpox citing concerns that the original name of the decades-old animal disease could be construed as discriminatory and racist,,1,,,,,,1,,,,
"The ""religious freedom"" issue was about a baker or other privately owned business being forced to cater to a gay wedding, when participating in such is against their religious beliefs... Not about the marriage itself.",,1,,,,,,1,,,,
The U.S Centres for Disease Control and Prevention CDC specifically addressed the metal and magnetism conspiracy theory in a myth-busting article last week,,1,,,,,,1,,,,
Well I wanted to know what the HARD COLD FACTS are involving this movie shrouded in rumour and other shroudy things.......but it seems like everyone in this thread is more interested in sheep and homing chickens,,1,,,,,,1,,,,
"The Christian right objects to government financing to pay for simple contraception, it is doubtful they would agree to pay for surgical procedures that would permit the grave sin of sexual freedom in young women without the penalty of an unwanted child.",,1,,,,,,1,,,,
"Other scenarios, he added, could include somebody going into the Dog and Duck ... then insulting the barman, and the barman suing the landlord. Or someone going for an MOT, the car fails, and they slag off the mechanic and the mechanic sues the garage owner. It’s mad and no one’s thought it through.",,1,,,,,,1,,,,
READ!! - Homosexual Threads - READ!!,,1,,,,,,1,,,,
I'm too low for zero I'm on a losing streak I got myself in a bad patch lately I can't seem to get much sleep I'm too low for zero I wind up counting sheep Nothing seems to make much sense It's all just Greek to me,,1,,,,,,1,,,,
"Also I was unable to find anywhere in the article where the author makes any statement that could possibly be construed as an accusation that conservatives are ""Hiding the truth"". The only accusation is the tendency of the media organizations to put profit above accurate or substantive reporting . Or are you making the claim that putting profit ahead of accurate/substantive reporting is a cornerstone of conservatism? If so you may have legitimate claim that the writer ""*THINKS*"" conservatives are ""hiding the truth"". Otherwise you are just attempting to taint the conversation with unsubstantiated speculation.",,1,,,,,,1,,,,
"i know rusty's not a noob anymore but i got first dibs on her and lirael2 didn't i? yo-less owns me, pyscho, lirael1 *and i think aj...?* so she can sell us off too. i also decided rusty and lirael2 are too valuable, so i'm not selling them anymore, i still am selling lhukhe09. i wish i had at least ONE book signed by eoin colfer but i don't! *speaks profanity in filipino*",,1,,,,,,1,,,,
MAKE RIGHT A PATHETICALLY GROSS WRONG AS REGARDS UPPER-INCOME TAXATION,,1,,,,,,1,,,,
"another interesting phenomenon that also proves the OP to be spot on is one or two posters INSTANTLY singled out and associated this with ""race"" and the blog did not suce thing. It mentioned race, religion, immigration, gender, sexual orientation, gender identity etc.",,1,,,,,,1,,,,
"I remember just being driven along, almost propelled along. We had no idea where it was safe and where it wasn't. We didn't think the bunker of the White House was safe at that point.",,1,,,,,,1,,,,
Original post by So Instinct Thoughts on Ye's new promotional stunts to sell his upcoming album Or have you guys spoken about that already I haven't really been following the threads because it's just East Asian chicks,,1,,,,,,1,,,,
"""Meredith ended up coming out that she was a lesbian,"" he says. ""I think much of that sparked a lot of the bullying from a lot of the other girls in school, 'cause she didn't fit in.""",,1,,,,,,1,,,,
"Language that is sexually violent and/or is used in a manner to harass other users may be removed at moderator discretion without notice or apology, and could end up resulting in a ban if we get tired of repeatedly having to edit posts made by the same individuals over and over.",,1,,,,,,1,,,,
"Drugs that suppress puberty are the first medical treatment that may be offered to a transgender minor, the guidelines say. Children may be offered drugs to suppress puberty beginning when breast buds appear or testicles increase to a certain volume, typically happening between ages 8 to 13 or 9 to 14, respectively.",,1,,,,,,1,,,,
"Let see Mariela Castro , now is the time to show your support towards the LGTB rights in Cuba.",,1,,,,,,1,,,,
"I wonder what percentage of Christians in the US would say they put their faith before their country. I wonder what percentage of Christians in the US would say yes if you asked them, ""Do you think our laws should be based on God's law?""",,1,,,,,,1,,,,
"In this politicized narrative, the West is the arch-villain of history, and its primal sins of colonialism and imperialism are the engines of oppression responsible for all the world’s ills. With regard to Islam and the Middle East, the West’s scholars are accused of creating orientalism, a collection of degrading myths and stereotypes that masqueraded as scholarship and provided the intellectual grease for the wheels and gears of colonial and imperial exploitation. With some few notable exceptions, the myth of orientalism has corrupted many of the scholars studying Islam in American and European universities. The result has been a reduction",,1,,,,,,1,,,,
"Really sick of seeing and hearing all the commercials about the cable/satellite tv tax the CRTC has imposed. They're all so self-righteous and deceptive, and treat us all like morons they can easily manipulate into supporting their side.",,1,,,,,,1,,,,
"Speaking as a guy who when skinny actually had women approaching me and saying i was stylish, trendy, had nice clothes ect.. i tended to wear smart-casual so girls obviously thought i was hot.. or gay .",,1,,,,,1,,,,,
Fortunately I do not use any drugs I am addicted to deeply fried food  mostly chicken and turkey,,1,,,,,,1,,,,
It's too bad I have great memories of hanging out at the mall I don't go as much since the ones closest to me closed and recently the one I did go to changed their food court and removed the place that made this amazing chicken teriyaki,,1,,,,,,1,,,,
NUM Tip By Black Diners Leave Scathing Note To Hard Working Waitress,,1,,,,,,1,,,,
"Hey Bododie, Please do not answer Mrs shaman again . Do as you must when you step in dogcrap. Just scrape it off on a curb and go on your way . She is not worth one second of your time . These waco libs are what put America in her present very dangerous course .Lets us proceed as we would with dog crap. In 2010 elections we have tons and tons of similar feces to overcome at the ballot box and then in 2012 we remove the stench completely and make America CLEAN once more! - We need You",,1,,,,,,1,,,,
"The day after Trump was sworn in....it was amazing to see so many Black SUVs with hidden lights and Government Plates driving the Illegal Aliens out of all the Industrial Parks, Factories, Construction Sites, The Home Depot parking lots, Orchards, etc.",1,,,,,,1,,,,,
"I say it again for what is it now with you, at least the 10th time I can think of, if you want to criticize Israel be my guest. Engage in smeers about all Jews, assign negative characteristics to all Jews, engage in references that incite hatred and resentment against all Jews whether you raise it in the context of Israel or any other discussion, I will challenge you as being anti-semitic. Engage in the same tactic but only against those who support Israel I will challenge you equally but call you anti-Zionist. Engage in the same comments about all",,1,,,,,1,,,,,
"The logic and common sense is found at the end of the article: ""Singling out Middle Eastern male Islamists between the ages 17 and 40 is not ""ethnic profiling,"" it's ""terrorist profiling"" and what's wrong with that?""",,1,,,,,,1,,,,
Well this looks like the end of McGinty - Miller - and that former - you know the - that guy in the convertable that was so raged and entitled - that he alledgedly scrapped a bike rider off the side of his very nice convertable like a rat clinging to his boat.,,,1,,,,1,,,,,
"Dog...Mike doesn't give a rat's ass about anything or anyone outside the GTA, Montreal and Ottawa.",,1,,,,,1,,,,,
Republicans Are Mad Cori Bush Called Byron Donalds A Black GOP ‘Prop,,1,,,,,,1,,,,
Then go out there and kick some foreign ass Not for money For Glory and the goddamn American Empire That's what I call right-wing,,1,,,,,,1,,,,
"I believe in evolution to an extent. There are still a lot of holes in it. I think it is beyond coincidence that all mammals with the exception of hooved animals have the same bones in their hands, but there are a ton of ""missing links"" out there. It is well known that there is a big gap in human history where evolution took a huge jump that hasn't really been explained. What most people forget is that this gap is present in a lot of the animals we see today, such as snakes. Evolution has yet to show any process that changed",,1,,,,,,1,,,,
When many republicans are throwing their political affiliations and careers away any reasonable person would back up and think whether their careers are pointing toward helping their fellow Americans or going over the politicl cliff pursuing their own selfish nd impossible agendas,,1,,,,,,1,,,,
I don't understand the criticism anyway. Its not like that is minimum wage and is the argument REALLY that we should have MORE doctors who get into it to ge RICH rather than a desire to serve and heal? The STUPIDITY of Treason Monkeys is just off the charts,,1,,,,,,1,,,,
"NO, according to THIS PARTICULAR SICK ****, HIS INSURRECTION AND ATTEMPTED OVERTHROW OF DEMOCRACY was ""the greatest movement in the history of our country."" **** you, you hateful pos.",,1,,,,,1,,,,,
"I wish I could get a new girlfriend, but the only girls I get to see are female lamb.",,1,,,,,1,,,,,
I could be wrong.... I often am..... but I have the funny feeling that Messiah Yeshua - Jesus has raised up the People's Party of Canada for this 2019 federal level election to TEST Canada's Christian community to see how many of us care about what Messiah Yeshua - Jesus cares about?,,1,,,,,,1,,,,
"""1960s - Sexual revolution and 'The Pill' See also: Sexual revolution and Sexual revolution in 1960s America In the United States, a flurry of legal actions in the 1960s and 1970s changed the landscape of reproductive rights: in 1965, the Supreme Court ruled in Griswold v. Connecticut that it was unconstitutional for the government to prohibit married couples from using birth control. In 1965 millions of unmarried women in 26 states were still denied birth control. In 1967 Boston University students petitioned Bill Baird to challenge Massachusetts's stringent ""Crimes Against Chastity, Decency, Morality and Good Order"" law. On April 6,",,1,,,,,,1,,,,
His NUM ameros silver coin features a Pocahontas obverse with a Jamestown background and a standing Eagle on a North American globe on the reverse,,1,,,,,,1,,,,
One the other hand Kierkegaard wrote “ ‘Christianity’ is inversely proportionate to number  ‘State’ is directly proportionate and for all that they have made of Christianity and State divisible into one another—to the advantage of twaddle and the priests.” Ibid p NUM,,1,,,,,,1,,,,
I read about that incident yesterday I imagine that it's quite the adjustment for the dogs as there are tons of people in and out all the time They said the dogs were sent back to Delaware and would return to the WH when Jill returns from her trip,,1,,,,,,1,,,,
"No, because the truth is not congenial to the narrow financial interests of the rich, greedy, privileged parasites who actually own and control everything. That is why economics has never been able to join the ranks of the genuine empirical sciences: that would be too inconvenient to the takers.",,1,,,,,,1,,,,
"The average Americans ARE ""deplorables"". It's the elitisst led sheep that want to shield the crooked establishment from their ways. How do you think Pelosi got rich? How in the h$$ did Hunter Biden get rich? I have an ex son in law that smoked crack....he is practically homeless!",,1,,,,,1,,,,,
"Rams should win, except they are playing the King of the White People, so who knows?",1,,,,,,1,,,,,
just as some idiots reported a bomb blowing up by the State Department in D.C. and a white van blowing up on the West Side of Manhattan.,,1,,,,,,1,,,,
